COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
26077,49019,0.009947229,0.025949781,0.000267809,0.010646780
26079,49690,0.016988869,0.011494253,0.020000000,0.016838167
26079,49676,0.136789690,0.089080460,0.070000000,0.134611787
26079,49612,0.020015622,0.000000000,0.000000000,0.019176801
26079,49633,0.132103105,0.034482759,0.060000000,0.128250702
26079,49646,0.495703964,0.744252874,0.800000000,0.506641721
26079,49680,0.094903339,0.057471264,0.040000000,0.093171188
26079,49738,0.012107010,0.000000000,0.000000000,0.011599626
26079,49659,0.091388401,0.063218391,0.010000000,0.089710009
26081,49546,0.050082831,0.077970071,0.074380793,0.053617691
26081,49345,0.022014307,0.017489298,0.008053487,0.021009954
26081,49318,0.000297440,0.000182942,0.000000000,0.000274426
26081,49343,0.005538404,0.001353774,0.000607810,0.004952743
26081,49315,0.033441265,0.034649299,0.023780580,0.033133721
26081,49507,0.050120482,0.036039662,0.029782708,0.047988683
26081,49325,0.000320030,0.000000000,0.000303905,0.000290761
26081,49435,0.000094127,0.000000000,0.000000000,0.000081675
26081,49468,0.000888554,0.007793348,0.000151953,0.001473408
26081,49508,0.060384036,0.040722989,0.083877830,0.059638737
26081,49505,0.052349398,0.025868062,0.058805653,0.050262502
26081,49317,0.000000000,0.000036588,0.000000000,0.000003267
26081,49530,0.000000000,0.000036588,0.000000000,0.000003267
26081,49333,0.000173193,0.000000000,0.000000000,0.000150281
26081,49321,0.028181476,0.024550876,0.034873120,0.028145041
26081,49330,0.007097139,0.003219787,0.002735147,0.006563365
26081,49326,0.005346386,0.000512239,0.000303905,0.004697919
26081,48809,0.002936747,0.000512239,0.000303905,0.002607051
26081,49515,0.004672440,0.009366653,0.000151953,0.004897204
26081,49544,0.015154367,0.023489810,0.039279745,0.016936029
26081,49327,0.000026355,0.000000000,0.000000000,0.000022869
26081,49548,0.049454066,0.057736636,0.030314542,0.049370616
26081,49348,0.000222139,0.000109765,0.000000000,0.000202553
26081,49302,0.011679217,0.002414840,0.001291597,0.010405334
26081,49503,0.065587349,0.115765980,0.126500532,0.072687059
26081,49519,0.044439006,0.028356079,0.073013220,0.044231655
26081,49525,0.044318524,0.046979620,0.055538672,0.045038599
26081,49534,0.028621988,0.019208957,0.043002583,0.028399865
26081,49316,0.028219127,0.024806996,0.014131591,0.027308694
26081,49306,0.014853163,0.005744393,0.002431241,0.013505699
26081,49301,0.028614458,0.023562987,0.008585321,0.027302160
26081,49560,0.000000000,0.000036588,0.000000000,0.000003267
26081,49351,0.000000000,0.000036588,0.000303905,0.000016335
26081,49403,0.000154367,0.000073177,0.000000000,0.000140480
26081,49514,0.002560241,0.009988658,0.000151953,0.003119967
26081,49501,0.004951054,0.023123925,0.000227929,0.006370613
26081,49341,0.053862952,0.034100472,0.021197386,0.050693743
26081,49319,0.024284639,0.011159489,0.019373955,0.022901536
26081,48838,0.004593373,0.000731770,0.000911716,0.004090260
26081,49506,0.048516566,0.032417401,0.023932533,0.046021961
26081,49509,0.042484940,0.041637701,0.040495365,0.042323738
26081,49516,0.002940512,0.013647506,0.000151953,0.003776630
26081,49347,0.000056476,0.000036588,0.000000000,0.000052272
26081,49418,0.035500753,0.049248107,0.040875247,0.036959355
26081,49331,0.022616717,0.013354799,0.010560705,0.021271313
26081,49512,0.031170934,0.078299367,0.081750494,0.037553946
26081,49588,0.000594880,0.005415096,0.000151953,0.001006230
26081,49510,0.001483434,0.005049212,0.000151953,0.001744568
26081,49518,0.001735693,0.008817826,0.000151953,0.002299955
26081,49504,0.067364458,0.044345249,0.047409208,0.064451000
26083,49950,0.723502304,0.478260870,0.200000000,0.718820862
26083,49918,0.000576037,0.000000000,0.400000000,0.001700680
26083,49805,0.122695853,0.391304348,0.200000000,0.126417234
26083,49901,0.000576037,0.000000000,0.200000000,0.001133787
26083,49913,0.052419355,0.086956522,0.000000000,0.052721088
26083,49945,0.100230415,0.043478261,0.000000000,0.099206349
26085,49644,0.217544744,0.144796380,0.038674033,0.211732246
26085,49601,0.001386438,0.000000000,0.000000000,0.001319578
26085,49656,0.121880514,0.058823529,0.005524862,0.117682342
26085,49304,0.394630703,0.638009050,0.392265193,0.401031670
26085,49623,0.079909251,0.045248869,0.082872928,0.079054702
26085,49688,0.009957146,0.009049774,0.000000000,0.009716891
26085,49655,0.008444669,0.000000000,0.000000000,0.008037428
26085,49642,0.065036552,0.045248869,0.441988950,0.072696737
26085,49402,0.042727502,0.040723982,0.005524862,0.041866603
26085,49309,0.008822788,0.004524887,0.000000000,0.008517274
26085,49677,0.049659692,0.013574661,0.033149171,0.048344530
26087,48412,0.062000939,0.015075377,0.018826135,0.058371182
26087,48461,0.086190700,0.052345059,0.043189369,0.083315310
26087,48727,0.008793904,0.003768844,0.000000000,0.008314709
26087,48440,0.004592662,0.000418760,0.000000000,0.004253478
26087,48462,0.005871301,0.001256281,0.000000000,0.005479057
26087,48455,0.088826262,0.050670017,0.043189369,0.085646312
26087,48744,0.004827514,0.001675042,0.000000000,0.004541850
26087,48463,0.000208757,0.000000000,0.000000000,0.000192248
26087,48428,0.052293722,0.021775544,0.012181617,0.049671978
26087,48453,0.004201242,0.003350084,0.000000000,0.004061231
26087,48371,0.005819112,0.000418760,0.000000000,0.005382933
26087,48435,0.010255206,0.002093802,0.000000000,0.009564319
26087,48760,0.006367100,0.000837521,0.000000000,0.005911614
26087,48464,0.020171181,0.002093802,0.001107420,0.018720112
26087,48416,0.017770471,0.008375209,0.006644518,0.016989883
26087,48446,0.366238714,0.585427136,0.632336656,0.384591354
26087,48014,0.000835029,0.000000000,0.000000000,0.000768990
26087,48444,0.101195136,0.167922948,0.180509413,0.106745488
26087,48003,0.066724075,0.060301508,0.043189369,0.065844808
26087,48421,0.074943896,0.021775544,0.018826135,0.070675029
26087,48438,0.010620531,0.000418760,0.000000000,0.009804628
26087,48423,0.001252544,0.000000000,0.000000000,0.001153486
26089,49682,0.175070366,0.150349650,0.421232877,0.179411986
26089,49670,0.111298754,0.048951049,0.020547945,0.106624558
26089,49664,0.099075191,0.066433566,0.017123288,0.095871870
26089,49636,0.037555287,0.022727273,0.003424658,0.036168133
26089,49621,0.133815842,0.045454545,0.078767123,0.128806677
26089,49640,0.000080418,0.000000000,0.000000000,0.000075194
26089,49650,0.000080418,0.000000000,0.000000000,0.000075194
26089,49630,0.074788902,0.089160839,0.061643836,0.075118430
