Zip,Population Total,Slab 1,Slab 2,Slab 3,Slab 4,Slab 5,Slab 6
53110,9290,0.356297094,0.288482239,0.166846071,0.099031216,0.082884822,0.006458558
53114,1310,0.328244275,0.282442748,0.167938931,0.114503817,0.091603053,0.015267176
53115,7810,0.384122919,0.266325224,0.151088348,0.088348271,0.092189501,0.017925736
53118,3690,0.298102981,0.170731707,0.138211382,0.116531165,0.208672087,0.067750678
53119,2820,0.269503546,0.163120567,0.14893617,0.14893617,0.226950355,0.042553191
53120,5190,0.308285164,0.221579961,0.159922929,0.121387283,0.157996146,0.030828516
53121,9180,0.337690632,0.22875817,0.154684096,0.111111111,0.1416122,0.026143791
53122,3220,0.242236025,0.111801242,0.105590062,0.077639752,0.226708075,0.236024845
53125,930,0.268817204,0.172043011,0.139784946,0.086021505,0.193548387,0.139784946
53126,3470,0.259365994,0.193083573,0.152737752,0.126801153,0.207492795,0.060518732
53128,3740,0.352941176,0.229946524,0.171122995,0.114973262,0.117647059,0.013368984
53129,7290,0.279835391,0.201646091,0.163237311,0.131687243,0.182441701,0.041152263
53130,4150,0.293975904,0.226506024,0.161445783,0.113253012,0.175903614,0.028915663
53132,17430,0.272518646,0.180149168,0.139988526,0.121629375,0.222604705,0.063109581
53137,840,0.297619048,0.226190476,0.166666667,0.130952381,0.154761905,0.023809524
53139,1450,0.275862069,0.227586207,0.151724138,0.137931034,0.179310345,0.027586207
53140,13330,0.454613653,0.277569392,0.12528132,0.070517629,0.064516129,0.007501875
53142,16150,0.33498452,0.216718266,0.150464396,0.105882353,0.165325077,0.026625387
53143,10610,0.427898209,0.268614515,0.139491046,0.078228087,0.073515551,0.012252592
53144,12500,0.384,0.2536,0.132,0.0856,0.1184,0.0264
53146,3890,0.262210797,0.179948586,0.151670951,0.136246787,0.205655527,0.064267352
53147,8500,0.368235294,0.230588235,0.137647059,0.085882353,0.123529412,0.054117647
53149,9850,0.27715736,0.182741117,0.137055838,0.121827411,0.23248731,0.048730964
53150,13050,0.269731801,0.166283525,0.135632184,0.126436782,0.240613027,0.061302682
53151,17480,0.264874142,0.190503432,0.149885584,0.1201373,0.21624714,0.058352403
53153,1310,0.267175573,0.167938931,0.152671756,0.129770992,0.229007634,0.053435115
53154,18000,0.291111111,0.230555556,0.163333333,0.115555556,0.176111111,0.023333333
53156,1490,0.308724832,0.248322148,0.161073826,0.134228188,0.134228188,0.013422819
53158,8550,0.294736842,0.184795322,0.129824561,0.10877193,0.204678363,0.077192982
53167,230,0.304347826,0.217391304,0.173913043,0.130434783,0.173913043,0
53168,4410,0.299319728,0.231292517,0.158730159,0.111111111,0.16553288,0.034013605
53170,1150,0.32173913,0.234782609,0.139130435,0.12173913,0.165217391,0.017391304
53172,10490,0.354623451,0.269780744,0.158245949,0.102955195,0.104861773,0.009532888
53177,3540,0.336158192,0.257062147,0.152542373,0.104519774,0.129943503,0.019774011
53178,1430,0.328671329,0.216783217,0.181818182,0.118881119,0.132867133,0.020979021
53179,2960,0.314189189,0.206081081,0.155405405,0.114864865,0.168918919,0.040540541
53181,3750,0.344,0.213333333,0.149333333,0.114666667,0.149333333,0.029333333
53182,4390,0.318906606,0.23690205,0.145785877,0.109339408,0.154897494,0.034168565
53183,1590,0.264150943,0.169811321,0.132075472,0.125786164,0.220125786,0.088050314
53184,2080,0.370192308,0.240384615,0.158653846,0.091346154,0.115384615,0.024038462
53185,9360,0.282051282,0.176282051,0.152777778,0.134615385,0.212606838,0.041666667
53186,16550,0.328096677,0.255589124,0.161933535,0.10694864,0.125679758,0.021752266
53188,17820,0.296296296,0.226150393,0.152076319,0.114478114,0.172278339,0.038720539
53189,13230,0.272108844,0.183673469,0.136054422,0.12244898,0.22675737,0.058956916
53190,6350,0.392125984,0.240944882,0.135433071,0.094488189,0.111811024,0.02519685
53191,1470,0.333333333,0.210884354,0.136054422,0.095238095,0.156462585,0.068027211
53192,170,0.294117647,0.294117647,0.176470588,0.235294118,0,0
53202,14270,0.26419061,0.279607568,0.190609671,0.083391731,0.112824107,0.069376314
53203,1130,0.256637168,0.274336283,0.194690265,0.088495575,0.10619469,0.079646018
53204,15660,0.569604087,0.314814815,0.072158365,0.021072797,0.01532567,0.007024266
53205,3390,0.640117994,0.241887906,0.067846608,0.02359882,0.026548673,0
53206,8380,0.690930788,0.238663484,0.046539379,0.014319809,0.009546539,0
53207,18870,0.302066773,0.293587705,0.180710122,0.104398516,0.107048225,0.012188659
53208,12570,0.504375497,0.272076372,0.110580748,0.050119332,0.054097056,0.008750994
