Zip,Slab 1 - Medical Tax Credit V2,Slab 2 - Medical Tax Credit V2,Slab 3 - Medical Tax Credit V2,Slab 4 - Medical Tax Credit V2,Slab 5 - Medical Tax Credit V2,Slab 6 - Medical Tax Credit V2,Total Medical Tax Credit V2
97147,0,0,0,0,0,0,0
97148,0.012738854,0.012738854,0,0,0,0,0.025477707
97149,0.071428571,0,0,0,0,0,0.071428571
97201,0.011278195,0.00877193,0.003759398,0,0,0,0.023809524
97202,0.02,0.018571429,0.004761905,0.001904762,0.001428571,0,0.046666667
97203,0.014512785,0.01520387,0.00414651,0.002073255,0,0,0.03593642
97204,0,0,0,0,0,0,0
97205,0.01312336,0.018372703,0,0,0,0,0.031496063
97206,0.022364217,0.020766773,0.005591054,0.001597444,0.001597444,0,0.051916933
97209,0.016966068,0.012974052,0.002994012,0.001996008,0,0,0.03493014
97210,0.017725258,0.016248154,0.005908419,0,0,0,0.039881832
97211,0.022080186,0.019755956,0.005229518,0.002905288,0,0,0.049970947
97212,0.017113095,0.015625,0.004464286,0.001488095,0.002232143,0,0.040922619
97213,0.019018405,0.021472393,0.006134969,0.001840491,0.001226994,0,0.049693252
97214,0.025839793,0.022609819,0.003875969,0.002583979,0,0,0.054909561
97215,0.024891775,0.021645022,0.005411255,0.003246753,0,0,0.055194805
97216,0.022727273,0.018939394,0.006313131,0,0,0,0.047979798
97217,0.019027484,0.019556025,0.003699789,0.002642706,0,0,0.044926004
97218,0.020979021,0.01958042,0.005594406,0,0,0,0.046153846
97219,0.012993503,0.013993003,0.003998001,0.001999,0.00149925,0,0.034482759
97220,0.016300496,0.019135365,0.004252303,0.001417434,0,0,0.041105599
97221,0.013333333,0.01,0.006666667,0,0,0,0.03
97222,0.014508929,0.013950893,0.004464286,0.002232143,0,0,0.03515625
97223,0.014382403,0.012690355,0.003384095,0.001692047,0.001269036,0,0.033417936
97224,0.011286682,0.01241535,0.004514673,0.002257336,0,0,0.030474041
97225,0.013523666,0.011269722,0.003756574,0.002253944,0,0,0.030803907
97227,0.019455253,0.023346304,0,0,0,0,0.042801556
97229,0.010077259,0.00974135,0.003359086,0.001679543,0.001679543,0,0.026536782
97230,0.01306478,0.014697877,0.003810561,0.001633097,0,0,0.033206315
97231,0.013574661,0.022624434,0,0,0,0,0.036199095
97232,0.02294686,0.019323671,0.004830918,0,0,0,0.047101449
97233,0.014616322,0.015225335,0.004872107,0,0,0,0.034713764
97236,0.017490953,0.018094089,0.00482509,0.003015682,0,0,0.043425814
97239,0.01371308,0.012658228,0.005274262,0,0,0,0.03164557
97266,0.024563672,0.020685197,0.005171299,0.001939237,0,0,0.052359405
