FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13
17175,9.5,12.2,26.8,30.2
17177,9.2,12.5,28.6,32.9
17179,8.6,9.6,26.4,30.6
17181,8.9,11.9,27.7,28.2
17183,9.7,12.7,27.1,35.4
17185,8.9,12.6,27.1,32.2
17187,9.2,10.5,27.0,30.5
17189,8.9,10.5,27.9,28.6
17191,8.8,10.3,27.7,29.2
17193,9.5,10.6,27.5,28.7
17195,8.9,10.5,26.3,28.7
17197,7.9,8.5,28.8,28.0
17199,8.7,10.5,28.1,31.6
17201,9.2,11.7,27.9,33.9
17203,8.4,9.6,27.5,30.8
18001,9.7,13.9,29.5,32.8
18003,10.0,10.3,30.2,30.1
18005,10.2,10.5,29.5,29.5
18007,10.8,12.1,29.2,32.6
18009,11.3,13.7,29.0,36.0
18011,10.0,10.4,30.5,27.8
18013,10.6,12.6,28.6,30.6
18015,10.9,13.4,30.0,26.9
18017,10.2,9.8,29.9,33.7
18019,9.8,12.4,30.5,33.3
18021,9.4,11.9,30.7,33.1
18023,11.8,12.5,28.7,30.9
18025,10.3,13.0,30.2,33.0
18027,10.1,12.9,29.7,37.6
18029,9.5,13.1,29.4,32.5
18031,9.6,14.7,29.9,32.7
18033,9.5,10.0,30.7,32.8
18035,10.4,12.5,31.0,31.5
18037,9.5,10.3,29.2,29.5
18039,9.7,10.2,29.2,32.8
18041,10.4,12.2,30.2,33.0
18043,10.1,10.2,29.5,30.1
